policy_id,driver_age,vehicle_age,vehicle_type,vehicle_make,past_claims,accident_type,region,claim_severity
821,32,4,Sedan,Regular,0,Moderate,Suburban,4058.4321993797785
297,53,7,SUV,Regular,0,Severe,Rural,13251.202755138032
55,55,3,Sedan,Regular,0,Moderate,Rural,5034.941038367899
543,47,9,Sedan,Regular,0,Minor,Urban,5387.18140564905
210,80,10,Sedan,High-end,0,Minor,Urban,7433.324511516092
605,46,3,Truck,Regular,2,Minor,Urban,4865.385801239892
693,23,7,Sports,Regular,0,Moderate,Urban,13738.53368341177
663,39,0,Sedan,High-end,0,Minor,Urban,3995.7019841873766
867,44,8,Truck,Regular,0,Minor,Urban,4511.047172231321
71,45,4,SUV,High-end,0,Minor,Urban,6265.8496892888115
544,61,3,Truck,High-end,0,Moderate,Suburban,10302.013296468478
108,42,1,Sedan,Regular,0,Minor,Suburban,3843.4802148716863
494,27,5,SUV,Regular,1,Moderate,Rural,8100.843030280379
591,41,1,Sedan,High-end,1,Severe,Suburban,18444.68777855338
742,20,4,SUV,Regular,0,Severe,Urban,19784.936702931518
293,31,4,Truck,Regular,4,Minor,Suburban,4033.981882879548
290,30,0,Sedan,Regular,1,Severe,Urban,15079.87454942101
653,35,5,Truck,Regular,0,Minor,Urban,6306.1521177617415
40,42,8,Sports,High-end,0,Severe,Urban,35646.26942620854
590,27,5,Sports,High-end,0,Minor,Rural,6432.046416606688
308,31,4,Truck,High-end,0,Minor,Suburban,4910.758459317993
680,59,3,Sports,High-end,0,Minor,Urban,9959.146054978954
67,38,1,Sedan,High-end,1,Severe,Urban,19675.91864176691
276,46,5,Sedan,Regular,0,Severe,Urban,14340.251358746034
68,55,8,Sports,Regular,0,Moderate,Suburban,9869.06916626221
319,44,3,SUV,Regular,0,Minor,Rural,5397.8817522602
549,45,7,Sports,High-end,1,Severe,Urban,39208.95975302162
999,31,4,Sports,Regular,1,Minor,Urban,6187.480547640105
715,39,3,Sedan,Regular,0,Moderate,Suburban,6856.231558859969
754,55,0,Truck,Regular,0,Moderate,Rural,4274.607742357044
328,51,4,Sports,Regular,0,Minor,Urban,6173.23998666576
383,18,11,Truck,Regular,0,Minor,Urban,8974.198914323417
452,54,10,SUV,Regular,0,Moderate,Suburban,10267.96048710309
523,30,4,Truck,Regular,3,Moderate,Rural,6930.018003931781
219,32,2,Sports,Regular,0,Moderate,Urban,9126.970290397298
788,46,2,Truck,Regular,1,Moderate,Urban,10524.380711205838
437,64,4,Sports,Regular,0,Moderate,Suburban,8741.06120342161
765,57,4,Sedan,High-end,0,Moderate,Suburban,7870.15014278144
89,32,4,SUV,Regular,0,Minor,Rural,5372.183998600687
64,22,0,Sedan,High-end,2,Minor,Suburban,3732.596206503048
827,63,1,Sedan,High-end,0,Minor,Suburban,4757.239717258095
717,41,5,SUV,Regular,0,Moderate,Suburban,7757.253421111502
352,62,0,Sedan,Regular,2,Moderate,Urban,6583.856541951057
937,24,5,Sedan,Regular,1,Minor,Urban,4946.564938334057
257,59,10,Sports,High-end,0,Moderate,Rural,14582.999938516868
636,18,3,Sedan,High-end,1,Moderate,Suburban,11725.1134252063
645,36,1,Sports,Regular,1,Minor,Rural,3718.737296774834
555,45,4,SUV,High-end,0,Minor,Suburban,5802.268077201298
960,46,5,Truck,Regular,0,Minor,Urban,5324.82721372651
169,36,6,SUV,High-end,0,Minor,Suburban,4716.578981707377
918,42,3,Sports,Regular,2,Minor,Urban,5455.133803428079
529,43,3,Sports,High-end,0,Minor,Rural,5006.699576828358
824,34,3,Sedan,High-end,0,Minor,Urban,5667.014280566898
986,22,6,SUV,Regular,0,Severe,Urban,20560.481486671895
817,44,0,Sports,High-end,0,Minor,Suburban,6519.232774500935
87,53,8,Truck,High-end,2,Minor,Rural,6801.4509459300725
433,35,7,SUV,High-end,0,Minor,Rural,4613.664718820151
185,36,2,SUV,High-end,1,Moderate,Rural,9263.964259331828
979,18,2,Sedan,Regular,0,Minor,Suburban,2338.4612468462315
535,30,3,SUV,Regular,1,Minor,Rural,3566.6831230100483
295,45,5,Truck,Regular,1,Minor,Urban,6191.823772582862
893,56,3,Sports,Regular,1,Minor,Suburban,3248.2084635017964
426,60,0,SUV,Regular,0,Minor,Urban,2100.8187980423018
714,45,7,SUV,Regular,0,Moderate,Suburban,7163.407993756358
261,26,6,SUV,Regular,0,Minor,Suburban,1187.3874361895619
238,42,3,Truck,High-end,0,Minor,Urban,6859.997143495645
560,33,4,SUV,High-end,0,Severe,Suburban,22263.545618498436
584,74,5,Sports,High-end,1,Minor,Urban,9425.576471726037
446,50,3,SUV,Regular,1,Minor,Urban,4626.252048237916
868,45,8,Truck,Regular,0,Minor,Suburban,3643.097125277939
801,54,10,Truck,Regular,1,Minor,Suburban,5977.444639031378
600,45,2,Sedan,Regular,0,Minor,Urban,4555.349780288475
850,32,6,Truck,Regular,0,Minor,Suburban,3959.4073667375887
266,21,0,Sports,High-end,0,Moderate,Rural,9541.755622092493
996,35,8,Truck,Regular,0,Moderate,Urban,9845.338960567136
530,26,1,Sedan,Regular,0,Severe,Suburban,11099.103331863595
56,53,2,SUV,Regular,1,Severe,Urban,17030.01331875688
121,51,8,SUV,Regular,1,Minor,Suburban,4961.2158424920335
216,51,8,Sedan,High-end,0,Minor,Urban,6557.600857398129
26,41,6,Truck,High-end,1,Minor,Suburban,9025.068690086597
73,39,5,SUV,High-end,0,Minor,Suburban,5303.840961294298
45,18,4,SUV,Regular,0,Moderate,Suburban,8159.857745849296
248,30,2,Truck,High-end,0,Severe,Urban,25434.55529755832
722,18,4,Sedan,High-end,4,Moderate,Suburban,15676.755629575106
282,49,4,Sports,Regular,2,Moderate,Suburban,9158.619884397904
894,57,4,Sports,Regular,0,Minor,Suburban,4487.701550691942
915,38,0,Truck,High-end,0,Minor,Urban,8379.927749251952
811,37,3,Sports,Regular,2,Minor,Rural,3138.685345802033
245,21,3,Truck,Regular,0,Minor,Rural,4880.400367762804
823,74,4,Sports,Regular,0,Minor,Suburban,4846.117328797723
322,48,6,Truck,Regular,0,Minor,Urban,2864.705627244094
644,18,6,Sports,Regular,1,Minor,Urban,6070.63208677787
159,22,7,SUV,Regular,0,Minor,Suburban,4292.296298430908
978,18,7,Sedan,Regular,1,Moderate,Suburban,9506.826589480002
430,18,4,Sedan,Regular,0,Minor,Suburban,3983.212404001069
942,53,3,Truck,Regular,1,Minor,Urban,4034.700189756162
463,29,4,Truck,Regular,0,Minor,Rural,3236.830174172184
310,36,6,SUV,Regular,1,Minor,Urban,6076.932013532215
698,21,2,Sedan,High-end,0,Minor,Rural,4087.213063692515
61,32,7,Sedan,Regular,0,Moderate,Suburban,7613.528242521521
885,50,4,Sedan,Regular,0,Minor,Suburban,2997.631083867192
596,32,1,Sedan,Regular,0,Severe,Urban,11797.569960135163
768,66,4,Truck,Regular,0,Minor,Rural,2973.146478744699
650,50,12,Sedan,Regular,1,Moderate,Rural,5496.549056814254
651,67,6,Sedan,Regular,0,Minor,Urban,5494.177956204012
866,34,0,Sports,Regular,0,Moderate,Rural,7230.7029049844705
669,18,7,Truck,Regular,0,Moderate,Suburban,10565.120322540442
299,52,5,Truck,High-end,0,Moderate,Suburban,12003.467600800997
690,46,4,Truck,Regular,1,Minor,Urban,5108.837884557241
315,59,5,SUV,Regular,0,Moderate,Urban,7305.7441040049225
311,36,4,Sedan,Regular,1,Moderate,Suburban,5995.093236071826
362,62,6,SUV,High-end,0,Severe,Suburban,24078.72806927942
480,56,3,Truck,Regular,0,Minor,Urban,4816.470896330895
111,18,4,Sports,Regular,0,Minor,Suburban,5059.571580077858
990,40,6,Truck,Regular,0,Moderate,Rural,6042.818099277529
487,30,0,SUV,High-end,2,Moderate,Urban,11822.967116852513
364,46,2,Sedan,High-end,1,Minor,Rural,2495.9798140650423
255,18,8,Truck,Regular,0,Moderate,Suburban,9986.949443914535
260,51,4,Sedan,High-end,0,Minor,Suburban,5457.537163279768
803,41,2,Sedan,Regular,0,Minor,Urban,4111.705571613265
678,66,9,Sedan,Regular,1,Minor,Rural,4152.502885800102
495,62,9,Sports,High-end,1,Minor,Urban,12119.050534896725
671,58,4,Sedan,Regular,1,Moderate,Suburban,6540.345688007809
378,42,8,Truck,Regular,0,Minor,Suburban,5762.129204233486
527,18,10,Sedan,Regular,0,Moderate,Urban,9519.236596138195
846,47,1,SUV,Regular,0,Minor,Suburban,2985.850587278226
138,35,1,Sports,Regular,0,Moderate,Urban,7941.444031787143
356,24,0,Truck,Regular,1,Moderate,Urban,9122.918072091077
366,33,4,Truck,Regular,0,Severe,Urban,18134.20727655131
943,49,5,Sports,High-end,1,Moderate,Urban,19113.5170602263
750,18,8,Sports,High-end,2,Severe,Rural,33212.881306984615
949,39,8,Sports,Regular,1,Moderate,Rural,8511.040749966838
830,35,5,Truck,Regular,0,Minor,Urban,6542.256841749534
657,40,5,Sports,Regular,3,Minor,Urban,7096.7128736717805
200,22,9,Truck,Regular,0,Minor,Urban,6255.307540499833
214,49,7,Sedan,Regular,0,Moderate,Suburban,6378.220988476512
409,41,4,Sports,Regular,1,Minor,Urban,5796.340470102883
333,41,4,Truck,Regular,1,Minor,Urban,5221.336744778137
209,47,0,Truck,Regular,0,Moderate,Suburban,6483.43159017748
614,23,4,Sports,Regular,1,Minor,Suburban,4627.108157861495
79,41,9,Truck,Regular,1,Minor,Suburban,5383.360418402783
30,35,1,SUV,High-end,0,Minor,Suburban,3349.4891104312574
536,40,0,Sedan,Regular,0,Minor,Urban,2336.563842780512
696,35,10,Sedan,High-end,0,Minor,Suburban,6065.059929023145
558,33,2,Truck,High-end,0,Minor,Suburban,4455.851454845707
837,63,1,Truck,Regular,2,Severe,Urban,19623.952505836285
597,35,6,SUV,Regular,0,Minor,Suburban,4478.928648571235
166,46,12,Sedan,Regular,1,Severe,Urban,20401.935216381735
919,33,4,SUV,Regular,0,Minor,Suburban,3632.143146964561
496,48,11,Sports,Regular,0,Minor,Urban,6508.425928797224
825,33,5,Sedan,High-end,1,Minor,Suburban,7220.47013485241
66,60,1,Sports,High-end,0,Minor,Urban,5917.219293603225
142,59,9,SUV,Regular,0,Minor,Suburban,3579.1811972713103
926,18,2,Truck,Regular,0,Minor,Urban,5617.511704551565
828,32,9,SUV,Regular,0,Moderate,Rural,6764.527356414026
656,40,4,Truck,Regular,0,Minor,Suburban,4169.180920255159
332,26,8,Truck,Regular,1,Moderate,Suburban,10149.653689565352
665,29,8,Sports,Regular,0,Moderate,Suburban,8734.612412970026
250,46,0,SUV,High-end,0,Moderate,Rural,9152.917382489512
908,51,1,Truck,Regular,0,Minor,Suburban,2847.4395264488076
709,18,4,Sedan,High-end,0,Minor,Urban,5086.504519938659
306,41,2,Truck,Regular,0,Minor,Urban,4650.441676292773
735,55,7,Sports,High-end,0,Moderate,Urban,18610.749968181695
976,18,3,Sports,Regular,1,Minor,Rural,3283.9311894089856
50,18,9,Sports,High-end,2,Minor,Urban,13312.413510548216
897,37,4,Truck,High-end,0,Moderate,Urban,14482.316868164486
3,49,5,SUV,High-end,0,Minor,Urban,7977.0345970488725
545,18,3,Truck,Regular,0,Minor,Urban,4689.471647828866
351,44,1,Truck,High-end,1,Moderate,Suburban,10667.039127618333
905,42,4,Sports,Regular,0,Severe,Urban,21021.886541284355
537,27,6,SUV,Regular,0,Moderate,Rural,6277.574859335866
345,32,7,Sports,Regular,0,Moderate,Urban,10940.801288760395
995,24,6,SUV,Regular,2,Moderate,Urban,12287.922535086464
482,25,3,Truck,Regular,0,Moderate,Suburban,7542.326523652049
576,18,4,SUV,Regular,0,Moderate,Urban,10928.627732077242
34,24,6,Truck,Regular,1,Moderate,Suburban,11448.355918542593
32,67,0,SUV,Regular,0,Moderate,Urban,7325.901388394959
232,43,0,Sports,Regular,0,Moderate,Urban,8388.240360495414
964,50,6,Sports,Regular,0,Minor,Suburban,3749.345032199415
193,43,3,SUV,Regular,0,Moderate,Rural,6691.810143273845
334,29,9,Truck,Regular,2,Moderate,Urban,14540.769895681353
4,62,3,Sports,Regular,1,Minor,Rural,2214.3960591908317
205,19,5,SUV,Regular,1,Minor,Urban,5488.828799460428
515,31,4,SUV,High-end,0,Moderate,Urban,10707.20660526866
800,40,5,Sports,Regular,0,Minor,Suburban,4007.0059522359525
307,59,5,SUV,High-end,1,Minor,Suburban,5970.976802463827
110,38,10,Sedan,High-end,0,Minor,Urban,6393.907951380945
431,22,5,Sports,Regular,1,Moderate,Suburban,12734.005327511992
78,35,3,Truck,Regular,0,Moderate,Suburban,7921.536506940712
85,27,6,Truck,Regular,1,Moderate,Urban,11006.659773378493
287,37,0,SUV,Regular,0,Moderate,Urban,8399.299572921585
83,62,4,Truck,Regular,0,Minor,Suburban,6078.562173991662
992,18,7,Sedan,Regular,0,Moderate,Urban,7588.444213488949
790,18,9,Sports,High-end,1,Minor,Suburban,7376.252000604647
895,60,4,SUV,High-end,1,Minor,Urban,6955.15432518589
399,38,8,Sports,Regular,0,Minor,Rural,3756.736535182097
324,71,6,Sedan,Regular,0,Minor,Urban,2554.790329191397
520,51,10,SUV,Regular,1,Minor,Urban,5320.877051750069
917,49,2,Sports,High-end,1,Minor,Urban,7047.082081063611
923,41,1,Truck,Regular,1,Minor,Urban,4655.907390624778
6,36,6,Truck,High-end,2,Minor,Rural,8315.49891102775
732,25,3,Truck,Regular,0,Minor,Rural,2364.9371926589347
466,36,6,Truck,Regular,0,Severe,Suburban,15466.194176071585
98,43,0,Truck,Regular,1,Minor,Suburban,3150.168652474362
267,64,4,Sedan,High-end,0,Severe,Rural,13847.738747887392
358,35,6,Sedan,Regular,1,Minor,Urban,5756.782556898976
869,49,1,Sports,Regular,0,Minor,Suburban,1587.044147375639
799,40,8,Sedan,Regular,1,Moderate,Urban,9387.298000389084
381,27,7,Sports,Regular,0,Minor,Urban,7176.33016488955
632,62,2,Truck,Regular,0,Minor,Rural,3567.2313738042767
382,31,3,Truck,Regular,0,Minor,Suburban,4453.840080540411
491,39,3,Sports,Regular,0,Severe,Urban,20149.412932999294
119,57,5,Truck,Regular,1,Minor,Suburban,4105.618353182922
901,45,7,Sports,High-end,0,Minor,Urban,9498.470092568876
251,21,5,SUV,Regular,0,Minor,Suburban,4063.9024919941317
524,48,2,Truck,Regular,1,Moderate,Urban,10433.973678846445
10,48,3,Sedan,High-end,0,Minor,Rural,1905.5661517517558
197,26,4,Truck,Regular,0,Minor,Urban,4981.9609001717645
604,60,2,SUV,Regular,1,Moderate,Suburban,7955.93210094085
82,45,3,SUV,Regular,0,Moderate,Rural,4658.690420302892
784,49,7,SUV,Regular,1,Minor,Rural,3482.9328945645834
588,27,3,SUV,Regular,0,Severe,Suburban,13725.073443881553
798,50,2,Sports,Regular,0,Minor,Rural,2416.1311048592706
240,52,9,Truck,Regular,1,Severe,Urban,23561.506556594974
291,36,6,Sports,Regular,0,Moderate,Urban,12220.756120358712
212,57,2,Sports,Regular,0,Minor,Urban,4729.886268745171
718,42,5,Truck,High-end,0,Moderate,Suburban,11843.022791247548
360,27,5,Sedan,Regular,1,Moderate,Urban,8686.235704801054
450,24,5,SUV,Regular,1,Minor,Suburban,4410.98110304605
228,23,4,SUV,Regular,1,Moderate,Suburban,9583.524386087935
951,36,0,Sedan,Regular,0,Moderate,Rural,4180.294880503445
947,18,6,Truck,Regular,0,Severe,Suburban,18776.990209724663
797,39,4,Sedan,High-end,0,Moderate,Suburban,10681.492457418015
502,68,3,SUV,Regular,0,Minor,Suburban,3123.76629555864
465,38,3,Sports,Regular,0,Minor,Suburban,5192.565962957342
363,38,5,Truck,Regular,1,Minor,Rural,2645.8636594902423
469,32,1,Truck,High-end,0,Minor,Rural,3729.32291746948
936,32,0,Sedan,High-end,1,Minor,Suburban,2802.6525653167046
429,55,4,Truck,Regular,0,Minor,Suburban,3387.411203021491
8,51,6,SUV,Regular,1,Minor,Rural,4203.401794903767
156,29,8,Sports,Regular,0,Minor,Urban,6259.6660897859565
542,23,10,Truck,High-end,2,Minor,Suburban,10268.467006046838
441,45,6,Sedan,High-end,1,Minor,Rural,4118.326346075217
483,18,10,Truck,High-end,1,Minor,Urban,9333.362963927486
423,36,3,SUV,High-end,1,Severe,Suburban,24915.824925076493
779,38,3,Sedan,Regular,0,Moderate,Urban,8334.309669352077
950,43,4,SUV,Regular,0,Moderate,Urban,8450.985702317526
335,54,5,Sports,High-end,0,Minor,Suburban,7998.42812243895
577,43,0,Sports,High-end,0,Minor,Urban,8301.24526642773
935,46,12,Sedan,High-end,0,Moderate,Suburban,11473.444866863298
568,24,6,Sedan,High-end,1,Minor,Urban,5868.339497019116
595,55,0,SUV,Regular,1,Moderate,Rural,5299.599616577629
531,49,5,Sports,Regular,1,Minor,Rural,2917.240607456648
582,33,8,Sports,Regular,0,Severe,Suburban,20296.289600668566
708,66,10,Sedan,High-end,1,Minor,Suburban,7984.165201675018
449,32,8,SUV,Regular,1,Moderate,Urban,10572.829100907982
454,47,12,SUV,Regular,1,Severe,Suburban,19697.770350493793
229,29,7,Sedan,Regular,0,Minor,Urban,2798.800863366322
353,52,6,SUV,High-end,0,Minor,Rural,3639.801289044527
729,31,6,Sports,Regular,0,Minor,Rural,4764.248384698636
213,54,2,Sedan,High-end,0,Moderate,Urban,9963.649061496517
80,18,7,SUV,High-end,0,Minor,Suburban,7776.679547521476
149,47,9,Sedan,Regular,0,Moderate,Urban,9921.294945685147
303,51,4,Sports,High-end,0,Minor,Urban,7468.5974444334415
629,40,5,Sedan,High-end,0,Minor,Suburban,4494.19577355203
778,36,4,SUV,High-end,0,Minor,Suburban,6828.76016203677
507,31,7,Sports,High-end,0,Moderate,Urban,16325.329719141118
343,43,6,Sedan,Regular,1,Moderate,Suburban,8060.215783664747
486,18,7,Sports,High-end,1,Minor,Urban,10797.043969078293
712,38,4,Truck,Regular,0,Minor,Suburban,5698.480087138118
134,47,6,Truck,High-end,1,Minor,Suburban,8068.47019160644
704,18,8,Sports,Regular,0,Moderate,Rural,7927.83679880448
312,56,7,SUV,Regular,0,Minor,Rural,3737.7883094177773
723,19,7,Sedan,Regular,1,Moderate,Urban,8531.708894756895
630,56,7,Truck,Regular,1,Minor,Urban,7263.085082569894
1,47,9,SUV,Regular,1,Moderate,Suburban,11243.441885622986
317,50,1,SUV,Regular,0,Moderate,Urban,6990.301037074269
707,20,7,SUV,High-end,0,Moderate,Rural,9592.96077546814
548,36,5,Sports,Regular,1,Minor,Urban,4159.822728329153
873,19,4,Sedan,Regular,2,Severe,Urban,18097.675658071716
533,39,5,Truck,Regular,0,Moderate,Suburban,7275.279078522304
478,44,6,Sedan,High-end,0,Minor,Suburban,4776.690152545624
405,33,7,Sports,Regular,1,Moderate,Suburban,11276.528686953126
173,38,5,Sedan,Regular,0,Moderate,Suburban,8587.8277453883
126,72,1,Truck,High-end,1,Moderate,Rural,9607.099155047466
395,57,3,SUV,High-end,2,Severe,Urban,31200.03875158709
421,70,6,Sedan,Regular,2,Minor,Suburban,1822.8801462261258
553,57,2,Truck,High-end,1,Minor,Suburban,5670.744273190283
904,59,6,SUV,Regular,0,Minor,Urban,2909.518862223922
91,41,4,Sports,Regular,1,Moderate,Urban,11562.239105982606
940,31,5,Sedan,Regular,0,Moderate,Urban,7044.8010951838405
182,27,9,Truck,High-end,1,Minor,Urban,8299.724724852693
275,25,8,SUV,Regular,2,Minor,Rural,4371.926040103083
896,49,3,Sedan,Regular,0,Severe,Urban,13364.23550302938
70,30,6,Truck,High-end,1,Minor,Urban,7817.504181258862
292,32,12,Sedan,Regular,0,Minor,Suburban,3672.193540123477
132,41,6,Truck,Regular,0,Minor,Urban,4797.066679774487
301,27,2,Truck,Regular,0,Moderate,Rural,5498.218596283865
425,49,1,Sedan,Regular,2,Minor,Urban,1798.0355142612866
327,57,2,SUV,Regular,0,Minor,Suburban,4716.411791700292
145,43,4,Truck,Regular,0,Moderate,Urban,8023.43149968508
424,54,2,SUV,Regular,1,Minor,Suburban,2085.0640778466
581,45,5,Sedan,Regular,0,Minor,Rural,2645.4272174057596
136,63,7,Sedan,High-end,1,Moderate,Urban,12867.64562858591
451,39,5,SUV,High-end,0,Moderate,Urban,13939.45269045799
165,54,8,Sports,High-end,0,Minor,Urban,9683.042951529484
29,30,6,Truck,Regular,0,Minor,Urban,5104.887947089409
774,54,5,Truck,Regular,0,Moderate,Rural,6532.396213683579
194,21,5,Sedan,Regular,0,Minor,Suburban,4935.597633487784
389,54,5,Truck,High-end,0,Minor,Suburban,5705.87421813753
853,30,1,SUV,Regular,2,Minor,Urban,5512.431377198068
170,28,7,Sports,High-end,0,Minor,Urban,9462.423715249393
706,49,4,Sedan,Regular,0,Severe,Urban,14358.528222000852
141,43,4,Sports,Regular,0,Moderate,Urban,12507.329809559224
174,45,4,Sports,High-end,0,Minor,Suburban,5889.243198298181
7,63,7,Sports,Regular,0,Minor,Urban,4754.121644622683
746,29,5,Sedan,Regular,1,Minor,Urban,3575.2106403619664
479,80,2,Truck,Regular,0,Moderate,Urban,6776.249515907504
74,63,1,Truck,High-end,2,Minor,Urban,5785.374293230408
911,35,10,Truck,High-end,0,Moderate,Urban,19991.221722471913
814,42,7,Sports,Regular,2,Moderate,Urban,15098.21895044541
239,30,6,Sports,Regular,0,Moderate,Urban,11318.510585175907
146,51,5,SUV,Regular,0,Moderate,Suburban,8836.657357758982
793,44,4,Sedan,Regular,0,Minor,Urban,2792.408659901704
235,72,2,SUV,Regular,1,Moderate,Rural,5646.0451830586735
221,74,1,Truck,Regular,0,Moderate,Suburban,7549.591778723123
924,29,5,Sedan,Regular,1,Minor,Suburban,3144.8145410247234
501,53,7,SUV,Regular,0,Moderate,Rural,6615.190340987386
133,24,9,Sedan,High-end,1,Minor,Urban,7059.560994979965
991,43,7,SUV,Regular,0,Moderate,Urban,7687.646235701615
775,49,2,Sports,Regular,1,Minor,Urban,6907.254604034729
186,50,7,Sedan,High-end,0,Minor,Suburban,4718.401971737667
42,42,3,Sports,High-end,0,Minor,Suburban,5830.16417485497
697,44,1,Sports,High-end,0,Minor,Rural,3156.855686579949
109,43,3,Truck,Regular,0,Moderate,Suburban,9677.013924659615
589,52,2,Sports,Regular,0,Severe,Suburban,16131.3806342143
57,27,4,Sedan,High-end,0,Severe,Urban,22137.768190368482
406,49,2,Sports,Regular,1,Moderate,Suburban,9029.877109675948
443,18,5,Sedan,High-end,0,Minor,Urban,6545.16136663109
758,42,7,Truck,Regular,0,Minor,Suburban,3684.5885619604323
998,49,2,Sedan,Regular,0,Minor,Urban,4153.1653064131915
25,31,10,SUV,Regular,1,Minor,Suburban,4504.349696970005
468,51,6,Sedan,Regular,2,Moderate,Urban,8545.989330708444
540,31,0,Sedan,Regular,0,Minor,Suburban,1000.0
532,18,0,Truck,Regular,0,Minor,Suburban,4384.1127907313785
619,47,3,Sedan,Regular,1,Minor,Rural,2927.3970234592343
695,48,5,Sedan,Regular,1,Minor,Suburban,2846.4815442665686
927,31,0,SUV,High-end,0,Minor,Suburban,3674.1672267619524
339,46,3,Sports,High-end,0,Minor,Urban,7670.531533796953
52,34,6,Sports,Regular,1,Moderate,Rural,8010.851801327466
508,27,7,Sedan,Regular,1,Minor,Urban,4326.736519516169
517,47,9,Sports,Regular,1,Minor,Suburban,5708.405453659871
921,56,0,Truck,Regular,0,Moderate,Urban,7822.339239318608
782,19,4,Truck,High-end,2,Moderate,Rural,12816.024865403864
265,36,5,Truck,Regular,0,Minor,Rural,2951.179910970796
818,53,2,Sedan,Regular,0,Minor,Suburban,1983.6774752185738
711,43,8,Sedan,Regular,1,Minor,Urban,3641.692050177502
683,32,2,Truck,High-end,0,Minor,Rural,5379.53658307664
833,24,7,Sports,Regular,1,Severe,Urban,31538.586730077375
519,41,1,Sedan,Regular,1,Minor,Suburban,1789.0907820374478
